,eng_reference,thai_reference,trimmed_segment_path
0," Episode     This episode, we will be inviting a familiar guest who comes by quite often,    but this will be the first time that we will be talking together in video format and it s going to be the first time also,  that this episode will be done in bilingual with this guest.       Good morning.  Good morning.",คำนี้ดี นี้จะได้ต้อนรับคนที่แวะ เวียนมาบ่อยพอสมควร แต่นี้จะเป็นครั้งแรก ที่เราจะได้นั่งคุยกันรูปแบบวีดีโอเต็มรูปแบบ และยังเป็นครั้งแรก ที่จะเป็นพูดสองภาษากับแขกท่านนี้ พี่ดุจดาว วัฒนปกรณ์ สวัสดีครับ สวัสดีค่ะ,combined_wav2/combined_output_2_1.wav
1,"     Actually, I ve heard that you give lectures in English.    Yes, sometimes. Because you went to get your education in Britain right?  Yes, I got my MA in London. So yeah, sometimes I give a lecture in English.    .      The thing that I learned from you is listening.",จริงๆ เคยได้ยินพี่ดาวสอนหรือว่าเลคเชอร์เป็น ภาษาอังกฤษอยู่แล้ว มีบ้าง มีบ้างค่ะ เพราะคุณเรียบจบจากอังกฤษใช่ไหม ใช่ค่ะ เรียบจบป โทที่กรุงลอนดอน มีสอนเป็นภาษาอังกฤษบ้าง สิ่งเรียนรู้แล้วพี่ดาววันนึงเนี่ย คือเรื่องของการฟังแหละ,combined_wav2/combined_output_2_2.wav
2,"   Apply   Listening is something that can really be applied to our daily lives.    At first, I though, listening? really?    On the other hand, speaking, it s more understandable with choice of words, tone of voice, body language.      It s more understandable with choice of words, tone of voice, body language.    There are many things and tactics involved.  But with listening",เรื่องของการฟัง ละผมรู้สึกว่ามันมา กับชีวิตได้จริงๆ ตอนแรกเราอาจจะมีความรู้สึกว่า สกิลฟังเนี่ยนะ สมมุติสกิลพูด เราเข้าใจได้ว่า คุณต้องรู้จักใช้คำพูด ใช้น้ำเสียง ใช้อวัจนภาษา มันมีหลายสกิลที่เกี่ยวข้อง มีแท็กติกต่างๆ แต่แบบสกิลฟัง,combined_wav2/combined_output_2_3.wav
3," Is there really anything to it? If I have ears,  I can listen, that s all right? Oh was I wrong, I was so wrong to think that it is so easy to just listen.           And I only just found out from you and others that there are classes on listening,",มันมีหรอวะก็ถ้ามีหูแล้วยังได้ยินเสียง ก็แปลว่าฟังได้แล้วไม่ใช่เหรอ คิดผิด ผิดที่คิดว่าการฟังเป็นเรื่องง่ายๆ แล้วก็พึ่งรู้จากพี่ดาวด้วย จากคนอื่นๆ ด้วย ว่ามันเป็นสิ่งที่บางทีเขาสอนกันเลยนะ,combined_wav2/combined_output_2_4.wav
4,"     there is a bib session to teach, for example, there is a  I teach that.  Deep Listening     Right? You teach Deep Listening for executives or something like that. So can we talk a little about that because I was curious.  What do you teach at these classes?  I teach how to listen to another person. ",มีบิบมีเซชั่นในการไปสอนการ เช่น มีการแบบ เราสอน ใช่ไหมพี่ดาวสอนอยู่แบบ สำหรับผู้บริหาร อะไรอย่างเนี้ย เรามาคุยกันหน่อยได้ไหมเพราะฉันอยากรู้ คุณสอนอะไรในชั้นเรียนเหล่านี้ ฉันสอนวิธีฟังคนอื่น,combined_wav2/combined_output_2_5.wav
5,"Most of the time people don t know whether they know how to listen or not.  Everybody thinks that, OK I know how to listen,      but in fact they don t know how to listen well.    So we start right from like how to set the body language when we re listening.    That helps you to be a good listener.  How to be attentive and how to maintain focus on another person. ",คนส่วนใหญ่ไม่รู้ว่าเขาฟังเป็นหรือไม่ ทุกคนคิดว่า โอเค ฉันฟังคนอื่นเป็น แต่จริงๆ แล้วพวกเขาฟังไม่เป็น ดังนั้นเราจึงเริ่มจาก ภาษากายเวลาเราฟังคนอื่น มันช่วยให้คุณเป็นผู้ฟังที่ดีได้ วิธีการใส่ใจและวิธีการรักษาโฟกัสไปที่บุคคลอื่น,combined_wav2/combined_output_2_6.wav
6,"Try not to interrupt like empathetic listening.    You try not to interrupt and you listen more and you feel all the feelings, all the story.      And you just go along with the story, like feeling with the story.  Yeah, and try not to interrupt. That s empathetic listening.      It s good for any situation where there s a lot of emotion coming out. ",พยายามอย่าขัดจังหวะ ฟังอย่างเห็นอกเห็นใจ พยายามไม่ขัดจังหวะและฟังมากเยอะๆ แล้วคุณจะรับรู้ถึงความรู้สึกทั้งหมด เรื่องราวทั้งหมด และคุณก็แค่ตามน้ำไปกับเรื่องราว ใช่ พยายามอย่าขัดจังหวะ นั่นคือการฟังอย่างเห็นอกเห็นใจ มันดีกับทุกสถานการณ์ที่มีการปลดปล่อยอารมณ์ออกมามากๆ,combined_wav2/combined_output_2_7.wav
7," when someone is angry, you got to like let... Like when a friend is angry    Let them vent.  Exactly, vent and everything.    Or if that person is sad or overwhelmed, you don't interrupt.  Just let it flow. That s empathetic listening.    That s already difficult for some people.  Yeah, because it doesn t look like your doing anything,   ",แบบเพื่อนโกรธ เวลามีใครโกรธอะไร เราก็ต้อง ปล่อยให้พวกเขาระบาย ใช่เลย ระบายออกทุกอย่าง หรือถ้าคนนั้นเศร้าหรือท่วมท้นก็อย่าไปขัดขืน ปล่อยให้มันไหลไปตามธรรมชาติ นั่นเป็นการรับฟังอย่างเห็นอกเห็นใจ ซึ่งแค่นี้ก็เป็นเรื่องที่ยากสำหรับบางคนแล้ว ใช่ เพราะมันดูเหมือนคุณไม่ได้ทำอะไรเลย,combined_wav2/combined_output_2_8.wav
8,"or, it doesn t look like you re helping.  And you feel like you re supposed to help the person in front of you.    Like, they come to you and cry, and they re like breaking down in front of you.      They re suffering, obviously, and you want to do something right?      You want to do something  That s your own need, not that person s need. '    ",หรือดูเหมือนคุณไม่ได้ช่วยอะไรเลย และเราจะรู้สึกว่า เราควรช่วยคนตรงหน้าเรา เช่น มีคนมาหาคุณแล้วร้องไห้ใส่ เหมือนทุกอย่างพังพินาศ เห็นได้ชัดว่าพวกเขากำลังทุกข์ทรมาน แล้วคุณก็อยากจะช่วย ถูกไหม คุณอยากช่วย นั่นคือความต้องการของคุณเอง ไม่ใช่ความต้องการของคนนั้น,combined_wav2/combined_output_2_9.wav
9,"That person wants to communicate, to ventilate, to express.      So you re helping, but it s not like problem solving. I m helping you with this and that.      But you re being a containment for them.  A containment.  Yeah, I contain your story, I contain your feelings.     ",บุคคลนั้นต้องการจะสื่อสาร ระบาย แสดงออก คุณกำลังช่วยเหลือ แต่ไม่เหมือนการแก้ปัญหา ฉันช่วยคุณด้วยสิ่งนี้และสิ่งนั้น แต่คุณทำหน้าที่เป็นภาชนะให้กับเขา ภาชนะบรรจุ ใช่ ฉันเก็บเรื่องราวของคุณ ฉันเก็บความรู้สึกของคุณ,combined_wav2/combined_output_2_10.wav
